pmid,split,num_tokens,participants_spans,interventions_spans,outcomes_spans,text_preview
18837418,train,369,diffuse lung disease . | diffuse parenchymal lung disease ( DPLD ) . | 95 patients who underwent fluoroscopy guided TBLB over a two year period . Patients with a lung mass or solitary lung nodule undergoing TBLB were excluded . | patients with DPLD | 74 out of 95 patients ( 78 % ) | Jumbo forcep while the smaller forcep was diagnostic in 62 out of 95 patients ( 65 % ) . | diffuse infiltrative lung disease .,"underwent fluoroscopy guided TBLB over a two year period . | larger and small forceps | bronchoscopy , placing a non inflated Fogarty balloon and a rigid aspirator ( diameter 4 mm ) in lobar bronchus near the biopsy segment . The Fogarty balloon has been inflated in case of bleeding .",value of transbronchial lung biopsy | parenchymal specimen | Diagnostic yield,The value of transbronchial lung biopsy using jumbo forceps via rigid bronchoscope in diffuse lung disease. BACKGROUND Transbronchial lung biopsy (TBL
21309696,train,209,children and adolescents with autism : | autism spectrum disorder ( ASD ) . | sample of children and adolescents with ASD . | Thirty-four children and adolescents with ASD ( age range 8-17 years ; IQ > 75 ) were enrolled,"cognitive enhancing drugs | cholinesterase inhibitors | donepezil ( doses of 5 and 10 mg ) , followed by a 10-week open label trial for placebo nonresponders | of donepezil","executive functioning | tolerability , safety , and efficacy | of EF measures",Safety and efficacy of donepezil in children and adolescents with autism: neuropsychological measures. OBJECTIVE There has been recent interest in the
1492408,train,209,pre-eclampsia . | Pre-Eclampsia of Pregnancy . | group of primiparous and multiparous pregnant women . Some of these women had personal or family histories of hypertension ( 21 % ) . Only those patients who received prenatal care at the Central Maternity Hospital for Luanda | hypertension of pregnancy .,"evening primrose oil ( gamma linolenic acid ) and fish oil ( eicosapentaenoic + docahexaenoic acid ) versus magnesium , and versus placebo | combination of evening primrose oil and fish oil was compared to Magnesium Oxide , and to a Placebo | evening primrose oil | fish oil | Gamma-linolenic acid ( GLA ) , Eicosapentaenoic acid ( EPA ) | Docosahexaenoic acid ( DHA ) | Magnesium Oxide",pre-eclampsia . | Pre-Eclampsia of Pregnancy . | incidence of edema | hypertension of pregnancy .,"Effects of a combination of evening primrose oil (gamma linolenic acid) and fish oil (eicosapentaenoic + docahexaenoic acid) versus magnesium, and ver"
25822242,train,248,toddlers with autism . | two parent-mediated interventions | toddlers with autism spectrum disorder ( ASD ) . | 86 toddlers ( range 22-36 months ) with ASD and their primary caregiver . Caregiver-child dyads,"parent-mediated interventions | parent-mediated interventions | hands-on parent training in a naturalistic , developmental behavioral intervention ( joint attention , symbolic play , engagement and regulation-JASPER ) or a parent-only psychoeducational intervention ( PEI ) . | JASPER intervention | . JASPER | The PEI intervention | of JASPER and PEI treatments","joint engagement . | of play diversity , highest play level achieved , and generalization to the child 's classroom for child-initiated joint engagement | reducing parenting stress associated with child characteristics",Randomized comparative efficacy study of parent-mediated interventions for toddlers with autism. OBJECTIVE This study compared effects of two parent-m
6740101,train,196,"United States children two months of age | 439 children at two , four , and six months of age and from 85 children at 18 and 20 months of age",trivalent poliovirus vaccines . | oral trivalent poliovirus vaccine ( OPV ) | injectable ( inactivated ) trivalent poliovirus vaccine ( IPV ),neutralizing antibodies . | percentage of children with detectable antibodies and the reciprocal geometric mean titers | antibodies to all three poliovirus types . | geometric mean titers against types 2 and 3,A comparison of the serologic responses to oral and injectable trivalent poliovirus vaccines. United States children two months of age were randomly a
6360688,train,281,"70 patients . | 70 patients hospitalized in the Coronary Care Unit for unstable angina , defined as recent ( less than one month ) appearance or aggravation of spontaneous chest pains . Among the 70 patients , 24 had angina only at rest . | patients have been divided into two groups according to ST-T changes during chest pain : 29 with ST elevation ( group A ) and 41 with other repolarization abnormalities ( group B ) . | 24 patients with angina exclusively at rest | unstable angina in patients with angina which is exclusively spontaneous .",diltiazem and propranolol | diltiazem ( D ) | propranolol ( P ),chest pains | no symptomatic relief | number of episodes of angina,Comparison of short-term efficacy of diltiazem and propranolol in unstable angina at rest--a randomized trial in 70 patients. The short-term efficacy 
8391792,train,309,proximal deep vein thrombosis . | deep vein thrombosis both in general surgery and in high-risk orthopedic surgery . | patients with proximal vein thrombosis . | There were 67 patients in each group . | deep vein thrombosis .,"low-molecular-weight heparin | unfractionated heparin | low-molecular-weight heparin , enoxaparin sodium | unfractionated heparin ( UFH ) | UFH . | low-molecular-weight heparin",change of the size of the thrombus | incidence of major bleeding | clot size evolution | incidence of overall recurrent thromboembolic events | serious bleeding complications,Subcutaneous low-molecular-weight heparin compared with continuous intravenous unfractionated heparin in the treatment of proximal deep vein thrombosi
17961835,train,312,somatic pain and temporal summation . | 20 healthy volunteers,"single and repeated cutaneous and intramuscular electrical stimulation ( temporal summation to 5 stimuli delivered at 2 Hz ) ; | stimulus-response function relating pain intensity scores ( visual analog scale , VAS ) to increasing current intensities for electrical skin and muscle stimuli ( single and repeated , determined at baseline ) ; | pain intensity ( VAS ) and pain areas after intramuscular injection of hypertonic saline . | gabapentin :","somatic pain and temporal summation . | pain intensity scores ( visual analog scale , VAS ) | pain intensity ( VAS ) and pain areas after intramuscular injection | temporal summation pain threshold | area under the pain intensity curve to hypertonic saline injections | area of pain evoked by hypertonic saline | temporal summation of skin stimuli at pain threshold intensities ; | tonic muscle pain",Effects of gabapentin on experimental somatic pain and temporal summation. BACKGROUND AND OBJECTIVES Gabapentin is used for treatment of neuropathic p
23104956,train,351,hemodialysis . | hemodialysis ( HD ) | Totally 21 clinically stable chronic HD patients | end-stage renal disease .,"unfractionated and low-molecular-weight heparin | unfractionated ( UFH ) and low-molecular-weight ( LMWH enoxaparin ) heparin | to either enoxaparin ( n = 10 ) or UFH ( n = 11 ) anticoagulation and followed prospectively for 12 weeks before crossing over to the alternate therapy for further 12 weeks . The OPG , RANKL , and vWF levels were measured at T0 , T10 , and T180 of HD session after each period of evaluation | under UFH | both enoxaparin | treatment . | use , | heparin on endothelial","OPG , sRANKL , and von Willebrand factor concentrations | von Willebrand factor ( vWF ) | The OPG , RANKL , and vWF levels | The baseline sRANKL level | Its over-HD level | . Plasma OPG levels | concentration was the | cholesterol level ( β | . von Willebrand factor concentration remained stable","Effect of unfractionated and low-molecular-weight heparin on OPG, sRANKL, and von Willebrand factor concentrations during hemodialysis. BACKGROUND End"
23205521,train,210,self-face representations | participants in the self-face prime condition | higher autism traits | neurocognitively healthy sample ) | participants with high autism traits performed as well as those with low autism traits .,Exposure to the self-face facilitates | self-face representations | ( self-face prime ) or faces of others ( nonself-face prime ),identification of dynamic facial expressions : | processing the facial expressions | recognition of dynamically emerging facial expressions of others . | recognition of dynamically emerging facial expression . | recognized expressions | expression identification | ability to recognize facial expressions,Exposure to the self-face facilitates identification of dynamic facial expressions: influences on individual differences. A growing literature suggest
